,agreement_id,Person,Mentions per agreement,AgtId,Date,Stage
0,771,U Aung Min,2,771.0,2012-01-06,SubPar
1,771,Dr. Sui Khar,1,771.0,2012-01-06,SubPar
2,771,Pu Zing Cung,1,771.0,2012-01-06,SubPar
3,771,U Hung Ngai,1,771.0,2012-01-06,SubPar
4,771,U Thein Sein,1,771.0,2012-01-06,SubPar
5,771,U Win Htun,1,771.0,2012-01-06,SubPar
6,776,Htein Lin,1,776.0,2012-04-05,Cea
7,1321,General Aung San,1,1321.0,2012-12-09,SubPar
8,1500,Khu Oo Re,1,,,
9,1544,Col. Hsaung Han,1,1544.0,2015-11-18,Cea
10,1544,Col. Saw Kyaw Than Htay,1,1544.0,2015-11-18,Cea
11,1544,Dr. Min Zaw Oo,1,1544.0,2015-11-18,Cea
12,1544,Dr. Shwe Kah,1,1544.0,2015-11-18,Cea
13,1544,Lt. Col Khine Myo Chit,1,1544.0,2015-11-18,Cea
14,1544,Lt. Col. Khun Aung Mang,1,1544.0,2015-11-18,Cea
15,1544,Lt. Gen. Ya Pyit,1,1544.0,2015-11-18,Cea
16,1544,Lt. Gen. Ye Aung,1,1544.0,2015-11-18,Cea
17,1544,Maj. Gen. Aung Kyaw Zaw,1,1544.0,2015-11-18,Cea
18,1544,Maj. Gen. Min Naung,1,1544.0,2015-11-18,Cea
19,1544,Maj. Gen. Saw Isaac Poe,1,1544.0,2015-11-18,Cea
20,1544,Maj. Gen. Saw Nay Soe Mya,1,1544.0,2015-11-18,Cea
21,1544,Maj. Gen. Tun Tun Naung,1,1544.0,2015-11-18,Cea
22,1544,Padoh Saw Ta Doh Moo,1,1544.0,2015-11-18,Cea
23,1544,Sai Liang,1,1544.0,2015-11-18,Cea
24,1544,Salai Yaw Aung,1,1544.0,2015-11-18,Cea
25,1544,U Khin Maung Soe,1,1544.0,2015-11-18,Cea
26,1544,U Myint Soe,1,1544.0,2015-11-18,Cea
27,1550,Khu Oo Reh,1,1550.0,2013-06-20,Cea
28,1550,U Aung Min,1,1550.0,2013-06-20,Cea
29,1552,Col. Aung Lwin,1,1552.0,2011-11-03,Cea
30,1552,Maj. Gen Saw Lar Pwe,1,1552.0,2011-11-03,Cea
31,1552,U Saw Mu Shay,1,1552.0,2011-11-03,Cea
32,1553,U Aung Min,1,1553.0,2012-01-13,Cea
33,1555,U Aung Thaung,1,1555.0,2011-12-27,Pre
34,1555,U Thein Zaw,1,1555.0,2011-12-27,Pre
35,1555,U Win Tun,1,1555.0,2011-12-27,Pre
36,1557,U Aung Min,2,1557.0,2012-02-25,Cea
37,1557,U Ohn Myint,2,1557.0,2012-02-25,Cea
38,1557,U Win Tun,2,1557.0,2012-02-25,Cea
39,1562,General Sao Khay Tai,3,1562.0,2012-01-28,Cea
40,1562,U Aung Thaung,3,1562.0,2012-01-28,Cea
41,1562,Col Aung Thu.,2,1562.0,2012-01-28,Cea
42,1562,Maj-Gen Mya Tun Oo,2,1562.0,2012-01-28,Cea
43,1562,Sao Htin Mein,2,1562.0,2012-01-28,Cea
44,1562,Sao Khay Maung,2,1562.0,2012-01-28,Cea
45,1562,Sao Khun Hsai,2,1562.0,2012-01-28,Cea
46,1562,U Thein Zaw,2,1562.0,2012-01-28,Cea
47,1562,Lt-Col Zaw Naing Oo,1,1562.0,2012-01-28,Cea
48,1562,Maj-Gen Aung Kyaw Zaw,1,1562.0,2012-01-28,Cea
49,1562,Maj-Gen Zaw Win,1,1562.0,2012-01-28,Cea
50,1562,Sao Hsay Pein Pha,1,1562.0,2012-01-28,Cea
51,1562,Sao Khin Min,1,1562.0,2012-01-28,Cea
52,1562,Sao Kyaw Hla,1,1562.0,2012-01-28,Cea
53,1562,Sao Laung Khay,1,1562.0,2012-01-28,Cea
54,1562,U Maung Maung Thein,1,1562.0,2012-01-28,Cea
55,1562,U Ohn Myint,1,1562.0,2012-01-28,Cea
56,1562,U Sao Aung Myat,1,1562.0,2012-01-28,Cea
57,1562,U Soe Tint,1,1562.0,2012-01-28,Cea
58,1562,U Tun Tun Oo,1,1562.0,2012-01-28,Cea
59,1562,U Win Tun,1,1562.0,2012-01-28,Cea
60,1563,U Aung Thaung,1,1563.0,2012-12-26,Cea
61,1564,General Secretary Naw Zipporah Sein,1,1564.0,2012-04-07,Cea
62,1564,U Aung Min,1,1564.0,2012-04-07,Cea
63,1578,U Aung Thaung,1,1578.0,2011-12-11,Cea
64,1578,U Saw Lah Pwe,1,1578.0,2011-12-11,Cea
65,1580,U Aung Min,1,1580.0,2013-03-23,Cea
66,1580,U Khin Mg Soe,1,1580.0,2013-03-23,Cea
67,1580,U Khun Myint Htun,1,1580.0,2013-03-23,Cea
68,1580,U Khun Okkar,1,1580.0,2013-03-23,Cea
69,1841,Col. Saw Kyaw Dah,1,1841.0,2013-11-02,Cea
70,1841,Gen. Saw Mo Shay,1,1841.0,2013-11-02,Cea
71,1841,Hpon Da Shwin,1,1841.0,2013-11-02,Cea
72,1841,Khaing Thuka,1,1841.0,2013-11-02,Cea
73,1841,Koon Abel Tweed,1,1841.0,2013-11-02,Cea
74,1841,Kya Khunsa,1,1841.0,2013-11-02,Cea
75,1841,Pu Zin Cun,1,1841.0,2013-11-02,Cea
76,1841,Saw Mutu Say Po,1,1841.0,2013-11-02,Cea
77,1841,U Tun Mrat Naing,1,1841.0,2013-11-02,Cea
78,1841,U Twan Zaw,1,1841.0,2013-11-02,Cea
79,2369,Daw Khin Ma Ma Myo,1,2369.0,2020-08-21,SubPar
80,2369,Dr. May Win Myint,1,2369.0,2020-08-21,SubPar
81,2369,Dr. Tin Myo Win,1,2369.0,2020-08-21,SubPar
82,2369,Kya Sha Mwe,1,2369.0,2020-08-21,SubPar
83,2369,Lian Hmung Sakhong,1,2369.0,2020-08-21,SubPar
84,2369,Lt-Gen Tin Maug Win,1,2369.0,2020-08-21,SubPar
85,2369,Nang Aye Aye Thwe,1,2369.0,2020-08-21,SubPar
86,2369,U Htone Phoo Dagon,1,2369.0,2020-08-21,SubPar
87,2369,U Kyaw Win,1,2369.0,2020-08-21,SubPar
88,2369,U Thu Wai,1,2369.0,2020-08-21,SubPar
89,2369,U Zein Khan Ram,1,2369.0,2020-08-21,SubPar
